id;student_code;created_date;year;formality;location;content;type;rd_date;code
1;haptic protocol International;2021-08-01T14:58:14;14697;Avon index Wooden;Fish;efficient;64821;2021-08-01T15:24:15;Personal
2;solution Loan generating;2021-08-01T05:22:23;83221;Chicken;visualize contextually-based;Metrics applications;93607;2021-08-01T18:04:44;Iowa Chair programming
3;National systematic Intelligent;2021-08-01T10:26:48;38501;orange collaborative Extended;Table;Swedish;56299;2021-08-01T14:41:12;holistic
4;Computers;2021-08-01T20:14:52;46974;Public-key;Sports communities Director;Representative;60577;2021-08-01T11:44:34;focus International input
5;adapter synthesize Unbranded;2021-08-01T18:48:11;78926;mission-critical;time-frame product Money;connecting Table;15660;2021-08-01T19:55:00;drive Central
6;input niches;2021-08-01T14:50:46;60916;optical application;mission-critical;intermediate;65769;2021-08-01T06:17:13;Greens
7;Granite Producer;2021-08-01T02:14:10;31255;Chips policy Buckinghamshire;green Developer Flats;Frozen;68915;2021-08-01T00:29:50;Louisiana pink
8;wireless Borders;2021-08-01T04:23:12;66952;e-enable transitional internet;PNG Ergonomic Tuna;pink alarm;90062;2021-08-01T04:34:08;Facilitator budgetary Oman
9;web-readiness;2021-08-01T19:38:44;87176;Persevering XSS Soft;copying deposit Metal;content-based;25689;2021-08-01T08:45:45;Tajikistan Pennsylvania panel
10;Baby Account;2021-07-31T23:31:59;50963;Outdoors;Business-focused quantifying;Pines;54707;2021-08-01T04:17:54;indexing
