id;code;type;day;parent_sode
1;Salad;microchip mobile;revolutionize;Bedfordshire user-facing open system
2;Shirt;Producer leading edge transmit;interfaces Focused;Reduced
3;utilisation Niger optimizing;calculate;invoice enhance;Customer-focused invoice
4;Metal Optional;SAS;Checking Account;Borders methodologies
5;Baby Wisconsin Avon;Fish;calculate Sports Ergonomic;Sausages architect
6;frictionless benchmark Health;Strategist calculating;Principal;Bedfordshire Village Field
7;algorithm;yellow Lights Granite;Lead optical Producer;local
8;copying;Boliviano Mvdol;portal copy;CSS clicks-and-mortar Groves
9;Function-based payment Bedfordshire;Guarani Delaware;Turkey wireless Towels;back-end THX back-end
10;workforce Granite;monitor;bypassing;transparent Graphical User Interface Missouri
