id;teacher_id;leave_date;reason;decision;description;break_time;description;created_time;created_name;update_time;update_name
1;63287;Clothing Extended Chair;dot-com visionary repurpose;Samoa Indian Quality-focused;Uganda bleeding-edge;Avon;Uganda bleeding-edge;2021-08-01T16:09:40;calculating Washington ivory;2021-07-31T22:30:18;Bedfordshire JSON
2;46417;Shoes SMS Jewelery;HTTP Skyway deposit;Massachusetts;Re-contextualized;mission-critical withdrawal;Re-contextualized;2021-08-01T04:34:26;Pound;2021-08-01T08:00:52;Vision-oriented SAS
3;98769;interface non-volatile Concrete;eyeballs;plum ADP;Investment Botswana Village;initiatives quantifying Belize;Investment Botswana Village;2021-08-01T19:50:55;turquoise open Sports;2021-08-01T21:01:56;bypassing Fantastic
4;88223;Sleek Checking Officer;Meadows;hardware;Tasty;disintermediate Card;Tasty;2021-08-01T17:17:06;algorithm;2021-08-01T20:00:42;Customizable withdrawal
5;52635;Communications;deliver;strategic input Hryvnia;transparent Chicken;Bacon Virtual transmitter;transparent Chicken;2021-08-01T16:59:17;Balboa Account improvement;2021-08-01T09:00:39;Distributed
6;66351;Rustic;Chief;Administrator convergence Practical;North projection overriding;architect Clothing;North projection overriding;2021-08-01T03:43:29;Regional;2021-08-01T21:07:29;Synergized program
7;46446;Metal input strategic;De-engineered Secured Account;AGP Kids Brand;compressing;Interactions;compressing;2021-08-01T18:58:40;neural;2021-08-01T01:41:40;Minnesota
8;60764;hacking;Computers Account Fish;Concrete navigating Portugal;Checking Bhutanese e-markets;Liaison;Checking Bhutanese e-markets;2021-08-01T03:37:28;Executive port Cove;2021-08-01T19:52:59;withdrawal Supervisor withdrawal
9;48581;Bacon;deposit aggregate Account;American Human invoice;Saint virtual deposit;Alaska web-enabled wireless;Saint virtual deposit;2021-08-01T17:02:53;Designer Dinar;2021-08-01T06:05:32;reciprocal
10;86426;Liberian Account generate;connect Metal;grow;Kids;Account Moldova;Kids;2021-08-01T20:23:21;payment Inlet;2021-08-01T20:57:29;Oklahoma human-resource
