id;code;teacher_code;subject_code;class_code;semester_id;department_code;grade_code;apply_all_semester;create_date;update_date;creator;updater;year
1;Bedfordshire Savings Account Parks;Malaysia Buckinghamshire coherent;extend Personal Loan Account;Cape Verde Escudo;overriding hard drive Cape Verde;bypass olive;cross-platform;43779;2021-08-15T18:50:20;2021-08-15T20:26:24;Florida;multimedia input;Trafficway next-generation Soap
2;Computers;CFA Franc BCEAO well-modulated;Som Metal teal;array Hat;Liaison Tennessee optimal;mindshare;Intranet;80918;2021-08-15T15:09:18;2021-08-16T04:54:55;application;firewall Baby program;Isle magenta Practical Metal Cheese
3;Baby;XML;deposit Pants;Nepalese Rupee;Berkshire Mobility Refined;withdrawal vortals convergence;CSS quantifying;27183;2021-08-15T12:00:07;2021-08-15T09:58:46;Isle of Man Designer;architect;compress
4;protocol Executive;Legacy bricks-and-clicks;array Garden;Gardens;Squares;Checking Account red withdrawal;AI;50915;2021-08-15T21:21:37;2021-08-15T12:50:52;Planner Gorgeous;e-business installation;transform
5;Rubber Analyst;Sleek Frozen Chair Dynamic;SMS;Investor Human;Soft;Buckinghamshire Avon;Texas Adaptive connecting;53673;2021-08-16T09:14:33;2021-08-16T06:02:36;Belarus;Fully-configurable Refined;USB Estate
6;Rubber conglomeration;Overpass deposit;Sausages approach Heights;markets;Sri Lanka Rupee application Borders;bluetooth;Sausages website;8598;2021-08-16T00:03:27;2021-08-16T05:50:08;Handmade Soft Table productize;SCSI;Minnesota back-end Idaho
7;leading-edge overriding vortals;Outdoors;Chair;microchip azure;North Carolina HDD Kentucky;Functionality system TCP;Toys Fish;53340;2021-08-15T10:19:53;2021-08-15T17:23:18;Cotton compress ubiquitous;Internal well-modulated multimedia;tan
8;Pitcairn Islands intranet generating;tangible;Refined PNG SSL;secondary one-to-one;empowering;portal;District client-driven parse;73242;2021-08-16T00:17:19;2021-08-16T09:14:08;mobile payment;Senior;Orchestrator Bedfordshire functionalities
9;morph Intelligent Cotton Pants;SSL Balboa US Dollar bluetooth;New York Car Belarus;Mouse;Alabama virtual;Incredible Granite Cheese;Handmade;27759;2021-08-16T03:02:31;2021-08-16T07:47:27;lime;Generic;Automated
10;Auto Loan Account Borders green;Idaho Metrics indexing;background Graphic Interface;Mayotte viral Intelligent Metal Keyboard;Small;firmware;Small Surinam Dollar Corner;54947;2021-08-16T03:39:02;2021-08-15T10:34:19;Awesome Frozen Bike;actuating 24/365;Handmade Plastic Keyboard Barbados Dollar
