id;name;type_choose;selected_value;code;parent_code
1;moderator;8643;invoice;synthesize azure Cambridgeshire;intuitive collaborative Usability
2;24/7 Generic;75941;systematic;feed District paradigm;calculating
3;Circles Plastic monitor;95356;calculating matrix Lead;Kansas;Center
4;Cotton high-level;51809;Switchable;Loan;Money
5;whiteboard;75889;fault-tolerant Marketing;Polarised indigo generate;withdrawal Unbranded multi-byte
6;grid-enabled end-to-end;41078;optical Wooden Guyana;Pants Stravenue;SCSI Accountability
7;Burg Applications JBOD;11008;HDD yellow;JSON Rubber Clothing;5th
8;area Managed;16543;Central;Home circuit;Missouri
9;Island Path;24541;Buckinghamshire bandwidth Personal;Plastic synthesizing Won;metrics bandwidth-monitored gold
10;SMTP;11663;program;Triple-buffered;Peso
