id;teacher_code;old_department_id;old_position;old_dept_id;transfer_date;type;new_dept_id;new_department_id;reason;description;old_subject;new_subject;code
1;Rubber Licensed;48646;82680;91767;2021-08-01T10:18:12;71901;89260;34798;Accounts;Direct navigating;Hawaii;GB Applications Fish;firewall
2;bypass Global Practical;70182;47832;78446;2021-08-01T12:55:11;6725;87362;81472;Configuration bandwidth Innovative;Persistent Canyon Soap;rich matrix Central;Loan strategy Auto;Incredible
3;Steel Shoes;85382;78236;96382;2021-08-01T12:40:52;50229;90120;23256;bypassing Granite;Account hub;GB withdrawal;Solutions up interfaces;connecting
4;Moroccan matrix mint;70679;26106;49439;2021-08-01T19:15:38;95455;58332;57437;Grocery bypass;interactive Liaison Soft;Specialist;cyan;Forint
5;iterate Concrete;37113;96188;34677;2021-08-01T01:43:15;5217;71769;65546;turn-key Rupee Operations;Granite Intuitive moderator;Personal mobile Dynamic;Seamless;hack Handmade
6;logistical interface Checking;17518;79632;8882;2021-08-01T10:16:52;90011;88136;70572;Future Reduced metrics;Track Wall;orchestrate;Auto;Bedfordshire
7;calculating Profit-focused;25101;14707;9120;2021-08-01T19:45:16;31922;56149;20220;optimize;payment;Metal Senior Chair;Central innovative relationships;help-desk Netherlands Saudi
8;Courts Sausages;83279;71341;64520;2021-08-01T07:32:20;20950;32601;70889;Cotton Automotive Fresh;Rustic;Nevis;Assistant;digital
9;circuit Berkshire Ball;71926;97908;78754;2021-08-01T13:09:28;23883;21464;80808;Mountains Rubber Integrated;Small neural Swedish;Handcrafted;withdrawal Fantastic connect;harness
10;Granite Senior transition;38517;9691;34305;2021-08-01T15:49:11;43066;36384;35653;white;Glens Inlet Curve;Texas Nepal backing;Facilitator;Australian Ways
