id;code;document_type;release_date;effective_date;signer;file;compendia;create_date;creator
1;composite Bike;Analyst;2021-08-27T17:01:42;2021-08-28T08:43:48;override;integrate Planner primary;Uzbekistan Anguilla Fresh;2021-08-28T07:21:16;JBOD Future
2;Plains;Frozen;2021-08-28T11:51:29;2021-08-28T06:07:24;interface;quantifying proactive National;Branch reboot;2021-08-28T03:50:29;synergies B2B Borders
3;budgetary deposit gold;virtual;2021-08-27T19:06:50;2021-08-27T21:27:53;tan interactive Loan;dot-com Cambridgeshire;Games Bedfordshire;2021-08-27T17:00:36;fresh-thinking
4;generating Tactics overriding;front-end Chips Bedfordshire;2021-08-28T00:43:47;2021-08-28T03:25:51;intermediate Automotive Frozen;Computer Towels empower;Cotton;2021-08-27T16:35:31;deploy
5;portal Rue;invoice Customizable Berkshire;2021-08-28T12:02:35;2021-08-27T16:47:05;AGP;Danish next Mississippi;Arizona Games;2021-08-28T06:47:44;Chips Director
6;olive;Tasty Intranet;2021-08-27T20:32:56;2021-08-28T07:34:27;haptic Awesome Future-proofed;infomediaries hybrid Gourde;District Licensed;2021-08-28T06:51:07;Principal Web SMTP
7;withdrawal;deposit Representative;2021-08-28T01:37:49;2021-08-28T05:02:02;impactful;Unbranded Producer;Garden;2021-08-28T07:02:14;Cambridgeshire Swedish
8;salmon pixel;models;2021-08-27T23:42:33;2021-08-28T01:08:00;connect Account Soap;Andorra content applications;Tasty;2021-08-28T05:59:36;Lebanese Chips Cambridgeshire
9;standardization ivory;Officer;2021-08-28T03:20:36;2021-08-28T14:25:01;Ergonomic modular Handmade;Palestinian Auto neural;distributed Computers;2021-08-28T10:57:07;actuating
10;Steel Forks;Fantastic clear-thinking;2021-08-28T09:06:25;2021-08-28T06:19:34;Interactions Tasty;mint Chicken application;Practical Cambridgeshire JSON;2021-08-28T01:25:38;Investment
