id;subject_code;type_semester;exemption_object;parent_code;semester
1;Administrator;connecting;Venezuela SQL Utah;Incredible Wooden Keyboard Ramp Small;magenta gold program
2;cross-platform;superstructure;input;platforms Agent;calculating Chips SSL
3;background;Home Loan Account world-class Creative;Liaison parsing backing up;Shoes;Ethiopian Birr Sleek Soft Pizza
4;multimedia Implemented;enhance Cameroon;Cambridgeshire;Chicken withdrawal;Cross-platform Games microchip
5;local area network Wyoming;User-friendly Ireland payment;Jewelery Refined Concrete Car Borders;Falkland Islands Pound Avon;backing up Officer Rhode Island
6;Intranet;e-markets program index;Movies reinvent;Generic Steel Pants paradigm;Wooden payment
7;Lake;Fantastic transmit sensor;Kansas;fuchsia bypassing olive;Cocos (Keeling) Islands
8;California programming turquoise;Yen back-end gold;Branding channels;Licensed Fresh Chicken Italy Internal;Keys encryption
9;Shirt flexibility Quality;Andorra;Pre-emptive;Plain Avon Assimilated;Fort Nepalese Rupee Trace
10;Soft port disintermediate;primary Keyboard panel;Future Berkshire AI;models Plastic;District magnetic Legacy
