id;teacher_id;rd_date;rd_year;rd_type;rd_address;rd_content;is_reward;created_time;created_name;update_time;update_name
1;36382;2021-08-01T05:47:09;Infrastructure overriding;Branch;system Plastic;Identity Awesome;21803;2021-08-01T12:26:16;Administrator;2021-08-01T06:42:22;AGP
2;5118;2021-08-01T13:43:14;intelligence Account;scale;withdrawal disintermediate Dakota;Refined;73102;2021-08-01T13:55:01;networks Ergonomic Steel;2021-08-01T19:09:13;override
3;1018;2021-08-01T16:16:18;calculate innovative;Dakota Tobago;Identity;Kwanza;46122;2021-08-01T02:22:28;synergies Consultant;2021-08-01T16:26:12;Georgia
4;36889;2021-08-01T07:31:13;Bedfordshire;bandwidth Fresh;support;Ferry Liechtenstein;40373;2021-08-01T11:41:05;hard;2021-08-01T16:31:30;infomediaries Frozen index
5;79965;2021-08-01T03:10:33;Group;Micronesia Brand;Forint;Steel transmitting;29533;2021-08-01T02:56:53;Metrics array;2021-08-01T09:34:18;deliverables silver
6;29393;2021-08-01T15:50:27;Bedfordshire Netherlands;database Dynamic;upward-trending Personal;Locks AI Corporate;68860;2021-08-01T20:54:53;Granite;2021-08-01T11:59:41;Director
7;76227;2021-08-01T22:07:06;Orchestrator Streets;synergy quantify;Bike;Pula;36518;2021-08-01T02:49:23;Dalasi;2021-08-01T09:07:40;calculating
8;60219;2021-08-01T09:42:12;Strategist;visionary;SMS Account supply-chains;Automotive blockchains;68429;2021-08-01T06:55:29;Licensed;2021-08-01T10:20:35;Tennessee parsing
9;526;2021-07-31T22:38:29;Configurable;bottom-line;haptic Small Metal;Music Tuna;16973;2021-08-01T05:28:26;Armenia;2021-08-01T13:54:12;Islands Walks
10;94126;2021-08-01T12:33:30;Turkmenistan deposit;auxiliary;Cape Highway;Salad Well Checking;87684;2021-08-01T09:56:32;Berkshire extend;2021-08-01T11:54:37;Polynesia clicks-and-mortar
