id;code;current_school_year;current_class_code;student_code;academic_ability;conduct;status;new_class_code;new_school_year;parent_code
1;matrices Fresh Small;violet Car index;functionalities Supervisor;XML Optional Markets;Bedfordshire Som Wooden;Tuna;60383;Account;Home;Buckinghamshire Factors
2;Operative;multi-state Handmade;Fresh;RSS International enterprise;Ridge Table Principal;upward-trending Dynamic Corporate;96832;Sahara;generation Parkways;solution-oriented International
3;Pizza;Home enable;Plain;Administrator Kingdom;multi-byte Response;Executive;29189;Forward Regional drive;e-markets optical Soft;SSL
4;Somoni open-source holistic;Configuration haptic;matrix;Legacy;synthesizing;iterate;64537;AI quantifying generate;New functionalities;synthesize
5;vertical Regional;Cambridgeshire Buckinghamshire connecting;coherent calculate;wireless productivity;protocol Jersey Markets;supply-chains;91578;azure;mindshare;Tasty online Lead
6;Automotive monitor;turquoise copy;Central;Clothing Soap Virginia;Plain Shirt archive;e-markets Administrator;30269;Account;extensible;bypassing District
7;West;Dynamic website Sausages;Generic Distributed;Metal;azure circuit collaboration;Home;82954;array mint;Square HDD reintermediate;Rhode
8;Terrace;Health primary;portals Shoes Assistant;payment;transmitting;SMS override USB;44050;Cotton;Rubber;Computer Pound Incredible
9;Metal Avon proactive;navigate Heights Representative;Applications;Won HTTP;Bedfordshire XSS;Synchronised;21286;Afghanistan Computer;deposit Avon;Account 1080p
10;programming;generation matrices engineer;parse;Practical turn-key Account;generate Forward;Facilitator;45024;Avon Phased;Azerbaijan yellow;Island Tennessee intermediate
