id;teacher_code;code;old_position;start_date;end_date;description
1;North Carolina;revolutionize model;Burg;2021-08-19T15:26:24;2021-08-19T17:18:34;web services
2;dedicated Seamless Intelligent;firmware Money Market Account;Business-focused XML;2021-08-19T05:00:42;2021-08-19T13:54:16;digital deposit
3;Avon;algorithm;FTP back-end;2021-08-19T23:57:53;2021-08-20T00:47:23;Extensions
4;RSS;Brooks;Sleek Cotton Chicken;2021-08-19T06:00:10;2021-08-19T22:01:18;Grocery
5;Utah plug-and-play copying;Borders Montana;Cambridgeshire;2021-08-19T19:14:34;2021-08-19T17:08:41;programming Rupiah Practical
6;Qatari Rial;systems disintermediate Group;Berkshire;2021-08-19T19:15:39;2021-08-19T06:12:10;Orchestrator
7;Salad Keyboard;Accounts Sports hack;Buckinghamshire;2021-08-20T00:43:58;2021-08-19T11:29:24;static Inverse
8;payment;policy;quantifying;2021-08-20T01:06:52;2021-08-19T11:42:18;Cross-platform
9;EXE infomediaries;withdrawal synthesize wireless;Handcrafted Metal Bike Togo Regional;2021-08-19T04:32:04;2021-08-19T23:23:06;enterprise
10;Computers productivity;Facilitator Taiwan;USB plum;2021-08-19T15:48:45;2021-08-19T17:47:02;Codes specifically reserved for testing purposes parse
