id;created_time;created_name;update_time;update_name;name;code;level_school;prices;quantity_sms_year;quantity_sms_week;description
1;2021-07-31T18:56:36;payment Stand-alone;2021-08-01T05:43:48;Steel Intelligent HDD;North quantify Mouse;Shoes envisioneer;56416;33042;52233;74580;communities Georgia Specialist
2;2021-07-31T23:32:47;optical overriding;2021-08-01T04:37:54;Analyst;harness;Philippines;56405;19577;15514;34703;bluetooth Sausages
3;2021-08-01T01:56:40;hybrid District;2021-07-31T22:13:19;Bike;Cambridgeshire;JBOD Convertible Garden;80878;28674;93082;73618;Accounts web-enabled Ergonomic
4;2021-08-01T03:36:14;mobile Marketing;2021-08-01T03:38:51;Pakistan States;Moldovan Analyst invoice;CSS strategize;57994;42544;34368;63306;application regional
5;2021-08-01T00:40:08;Dynamic;2021-07-31T13:22:52;customer;Mandatory Investment;Devolved;29486;45976;16199;48225;Operations
6;2021-08-01T03:17:23;Manat Virginia deposit;2021-07-31T16:53:17;firewall;Outdoors portals encryption;end-to-end Shoal;57316;52113;30557;49811;Cambridgeshire
7;2021-07-31T10:38:29;Administrator;2021-07-31T12:57:29;Fresh;driver Generic to;Bike;98401;94408;66897;80581;management
8;2021-07-31T13:59:51;Liberian Gloves;2021-08-01T00:01:54;Philippines Automotive;Incredible EXE Intranet;Cotton dot-com Wooden;6711;54077;75617;59505;purple Place Practical
9;2021-07-31T21:46:27;Berkshire Account;2021-08-01T05:01:28;platforms;Rustic Corners Mouse;solid schemas;34468;38962;30023;58110;RSS
10;2021-07-31T22:30:18;Dollar payment;2021-07-31T17:42:47;copy Granite;Accountability;Borders Indiana leverage;94138;19425;91630;35785;Massachusetts
