id;created_time;created_name;update_time;update_name;name;code;parent_id;position;employee_id;description
1;2021-08-01T17:24:04;Administrator;2021-08-01T03:02:46;Leone 3rd New;Incredible;open-source;15186;66819;88139;blue
2;2021-08-01T00:03:19;web-readiness Iraq Cloned;2021-07-31T22:57:51;France Specialist Avon;sky extranet;open-source Won;84668;7020;60865;vortals User-friendly
3;2021-08-01T01:13:18;Alabama;2021-08-01T14:14:22;deposit Executive;salmon Cotton withdrawal;Computer;72318;6537;94552;Lake program
4;2021-08-01T22:20:22;Intelligent invoice;2021-08-01T03:43:41;Borders Towels;back-end;Orchestrator;58814;75802;32421;payment
5;2021-08-01T21:01:03;Clothing USB RAM;2021-08-01T03:05:14;orchestrate Iceland;program Generic overriding;matrix;53233;51018;38350;Baby
6;2021-08-01T01:43:41;salmon;2021-08-01T16:21:46;Licensed national;Chair Tuna;port;39191;16206;64772;experiences Fresh
7;2021-08-01T13:33:44;neural hack Cambridgeshire;2021-08-01T20:49:54;Panama Pants Georgia;networks Assistant Account;indigo Fresh;11651;65132;8230;expedite visualize Tasty
8;2021-08-01T09:52:50;navigate Product online;2021-08-01T12:27:07;defect;Future;firmware;66538;73967;31310;Louisiana Savings
9;2021-08-01T09:58:36;quantify;2021-08-01T00:09:02;User-centric;calculating;impactful Lock Corner;44300;40475;87987;Loan TCP Pound
10;2021-08-01T15:16:21;Factors green;2021-08-01T03:36:36;Wooden Consultant;feed salmon Marketing;Integration lavender;65078;972;68799;deposit
